occ_code,occupation_title,major_group_code,major_group_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,adoption_gap_absolute,observed_to_theoretical_ratio,underadoption_ratio,total_employment,annual_mean_wage,job_zone,digital_information_index,interpersonal_index,physical_index,decision_index,compliance_index,log_total_employment,log_annual_mean_wage,digital_information_index_z,interpersonal_index_z,physical_index_z,decision_index_z,compliance_index_z,job_zone_factor,regression_weight
11-3012,Administrative Services Managers,11,Management,0,0.6956521739130435,0.7391304347826086,0.6956521739130435,0,1,224620,113030,3,3.921666666666667,4.08,2.908,3.9566666666666666,4.01,12.322169816470433,11.635408549184778,0.32096868568081743,0.334805926893808,-5.898970009544589e-4,0.15370816044125704,0.22412211000191945,3,224620
11-2011,Advertising and Promotions Managers,11,Management,0.1731,0.9534883720930232,0.8372093023255813,0.7803883720930231,0.1815439024390244,0.8184560975609756,22520,142860,4,3.790000000000001,4.140000000000001,2.1100000000000003,4.126666666666666,3.17,10.022203486241112,11.869620408708963,0.1824475735546931,0.47239725883275124,-0.7797806778743875,0.5516882894273386,-1.268861490860223,4,22520
11-9041,Architectural and Engineering Managers,11,Management,0.0306,0.8334975369458129,0.6044334975369459,0.8028975369458129,0.0367127659574468,0.9632872340425532,187100,158970,4,4.894166666666667,3.890000000000001,2.383,4.15,4.4725,12.139403856983334,11.976470784154918,1.344096140435172,-0.1008999575795065,-0.5132154107334764,0.606313013013666,1.0461517711908974,4,187100
11-1011,Chief Executives,11,Management,0.0333,0.8822222222222222,0.6211111111111112,0.8489222222222222,0.0377455919395466,0.9622544080604534,200480,213020,5,4.2924999999999995,4.02375,1.935,4.381666666666667,4.3025,12.208474758146187,12.269141336997157,0.7111072609727513,0.20581405320104895,-0.9506558491185618,1.1486584829064648,0.7440003281592734,5,200480
11-3111,Compensation and Benefits Managers,11,Management,0,0.894736842105263,0.7368421052631579,0.894736842105263,0,1,15330,139470,4,4.381666666666667,3.63,1.224,4.016666666666667,4.4,9.637632201310455,11.84560480335274,0.8049158622227227,-0.6971290626482581,-1.6448972591448918,0.29417173537752167,0.9172930675450581,4,15330
11-3021,Computer and Information Systems Managers,11,Management,0.1559,0.9393939393939394,0.8181818181818182,0.7834939393939394,0.16595806451612904,0.834041935483871,485190,162930,4,4.95,3.715,1.7259999999999998,4.2299999999999995,4.3149999999999995,13.092297906828058,12.001075939697001,1.402836105703845,-0.5022080090680903,-1.1547296250616041,0.7935977795953502,0.7662173460292445,4,485190
11-9021,Construction Managers,11,Management,0.1186,0.8444444444444444,0.6,0.7258444444444444,0.14044736842105263,0.8595526315789473,284750,108210,4,3.9583333333333335,4.17,3.850000000000001,4.15,4.425,12.559370393155763,11.591829062565694,0.3595441852602446,0.5411929248022208,0.9192067390676861,0.606313013013666,0.9617271032850019,4,284750
11-9032,"Education Administrators, Kindergarten through Secondary",11,Management,0.0525,0.8181818181818181,0.6363636363636364,0.7656818181818181,0.06416666666666666,0.9358333333333332,274710,102650,5,4.243333333333333,4.4174999999999995,2.8680000000000003,3.9866666666666664,3.645,12.523474914965657,11.53908042244708,0.6593810229003378,1.1087571690503562,-0.03964707899962241,0.22393994790938884,-0.42461481180127303,5,274710
11-9033,"Education Administrators, Postsecondary",11,Management,0.0644,0.8536585365853658,0.6097560975609756,0.7892585365853658,0.07544000000000001,0.92456,155990,111260,5,4.253333333333333,3.8625,1.618,4.546666666666667,4.505,11.957553592259716,11.619625083629284,0.6699016136947269,-0.1639626513848577,-1.2601840164580085,1.5349333139811923,1.103916017652825,5,155990
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11,Management,0.0395,0.875,0.75,0.8355,0.04514285714285714,0.9548571428571428,56430,53800,4,3.2716666666666665,4.41,2.636,4.333333333333333,4.09,10.940773931876523,10.893028746149875,-0.36286971595448403,1.0915582525579897,-0.266178734591899,1.0355072697633616,0.36631102436974267,4,56430
