occ_code,occupation_title,major_group_code,major_group_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,adoption_gap_absolute,observed_to_theoretical_ratio,underadoption_ratio,total_employment,annual_mean_wage,job_zone,digital_information_index,interpersonal_index,physical_index,decision_index,compliance_index
11-3012,Administrative Services Managers,11,Management,0.0,0.6956521739130435,0.7391304347826086,0.6956521739130435,0.0,1.0,224620.0,113030.0,3,3.921666666666667,4.08,2.908,3.9566666666666666,4.01
11-2011,Advertising and Promotions Managers,11,Management,0.1731,0.9534883720930232,0.8372093023255813,0.7803883720930231,0.1815439024390244,0.8184560975609756,22520.0,142860.0,4,3.7900000000000005,4.140000000000001,2.1100000000000003,4.126666666666666,3.17
11-9041,Architectural and Engineering Managers,11,Management,0.0306,0.8334975369458129,0.6044334975369459,0.8028975369458129,0.036712765957446804,0.9632872340425532,187100.0,158970.0,4,4.894166666666667,3.8900000000000006,2.383,4.15,4.4725
11-1011,Chief Executives,11,Management,0.0333,0.8822222222222222,0.6211111111111112,0.8489222222222222,0.0377455919395466,0.9622544080604534,200480.0,213020.0,5,4.2924999999999995,4.02375,1.9349999999999998,4.381666666666667,4.3025
11-3111,Compensation and Benefits Managers,11,Management,0.0,0.894736842105263,0.7368421052631579,0.894736842105263,0.0,1.0,15330.0,139470.0,4,4.381666666666667,3.63,1.224,4.016666666666667,4.4
11-3021,Computer and Information Systems Managers,11,Management,0.1559,0.9393939393939394,0.8181818181818182,0.7834939393939394,0.16595806451612904,0.834041935483871,485190.0,162930.0,4,4.95,3.715,1.7259999999999998,4.2299999999999995,4.3149999999999995
11-9021,Construction Managers,11,Management,0.1186,0.8444444444444444,0.6,0.7258444444444444,0.14044736842105263,0.8595526315789473,284750.0,108210.0,4,3.9583333333333335,4.17,3.8500000000000005,4.15,4.425
11-9032,"Education Administrators, Kindergarten through Secondary",11,Management,0.0525,0.8181818181818181,0.6363636363636364,0.7656818181818181,0.06416666666666666,0.9358333333333333,274710.0,102650.0,5,4.243333333333333,4.4174999999999995,2.8680000000000003,3.9866666666666664,3.645
11-9033,"Education Administrators, Postsecondary",11,Management,0.0644,0.8536585365853658,0.6097560975609756,0.7892585365853658,0.07544000000000001,0.92456,155990.0,111260.0,5,4.253333333333333,3.8625,1.6179999999999999,4.546666666666667,4.505
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11,Management,0.0395,0.875,0.75,0.8355,0.045142857142857144,0.9548571428571428,56430.0,53800.0,4,3.2716666666666665,4.41,2.636,4.333333333333333,4.09
11-9161,Emergency Management Directors,11,Management,0.0,0.8444444444444444,0.8,0.8444444444444444,0.0,1.0,10320.0,84800.0,4,4.485,4.005,2.9560000000000004,3.7466666666666666,4.07
11-3013,Facilities Managers,11,Management,0.1345,0.7646103896103895,0.637987012987013,0.6301103896103895,0.17590658174097668,0.8240934182590234,101230.0,101970.0,4,4.333333333333333,4.16125,3.2079999999999997,4.136666666666667,4.2
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11,Management,0.0,0.6938775510204082,0.3877551020408163,0.6938775510204082,0.0,1.0,5220.0,78440.0,4,3.6283333333333334,3.9025,4.016,4.06,3.4400000000000004
11-3031,Financial Managers,11,Management,0.3907,0.9701104613385315,0.7861412791237351,0.5794104613385316,0.40273764233087744,0.5972623576691225,681070.0,153460.0,4,4.7,3.755,1.1853333333333333,4.301111111111111,4.458333333333334
11-9051,Food Service Managers,11,Management,0.0,0.7708333333333333,0.6041666666666666,0.7708333333333333,0.0,1.0,210680.0,63970.0,2,2.813333333333333,4.63,3.71,4.436666666666667,3.58
11-9171,Funeral Home Managers,11,Management,0.0108,0.7142857142857142,0.7857142857142857,0.7034857142857142,0.015120000000000003,0.98488,12710.0,82900.0,3,4.178333333333334,4.69,3.94,4.486666666666667,4.539999999999999
11-9071,Gambling Managers,11,Management,0.0,0.8235294117647058,0.7058823529411764,0.8235294117647058,0.0,1.0,3660.0,89190.0,2,3.4466666666666668,4.535,2.616,4.433333333333334,4.325
11-1021,General and Operations Managers,11,Management,0.1378,0.9615384615384616,0.6538461538461539,0.8237384615384615,0.143312,0.856688,2984920.0,115250.0,4,3.818333333333334,4.295,2.622,4.753333333333334,3.865
11-3121,Human Resources Managers,11,Management,0.0,0.92,0.76,0.92,0.0,1.0,166530.0,136590.0,4,4.44,3.9299999999999997,1.8519999999999999,4.153333333333333,4.635
11-3051,Industrial Production Managers,11,Management,0.0132,0.7406923003621116,0.5285008099866589,0.7274923003621117,0.01782116540639986,0.9821788345936001,192270.0,117780.0,4,4.198055555555556,3.9899999999999998,3.038333333333333,4.417777777777778,4.286666666666667
11-1031,Legislators,11,Management,0.0,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.0,1.0,44590.0,57110.0,4,,,,,
11-9081,Lodging Managers,11,Management,0.1215,0.8695652173913043,0.5,0.7480652173913043,0.139725,0.860275,35920.0,67770.0,4,3.705,4.295,2.5899999999999994,4.53,3.7299999999999995
11-9199,"Managers, All Other",11,Management,0.0686,0.9112569474915899,0.7128180094733407,0.8426569474915899,0.07528063318346674,0.9247193668165332,497890.0,129710.0,4,4.341388888888889,3.885416666666667,2.4266666666666667,4.05,4.479166666666666
11-2021,Marketing Managers,11,Management,0.3195,0.9375,0.9375,0.618,0.3408,0.6592,278690.0,153440.0,4,3.595,4.1275,1.458,4.223333333333334,3.19
11-9111,Medical and Health Services Managers,11,Management,0.0659,0.8571428571428571,0.6285714285714286,0.7912428571428571,0.07688333333333333,0.9231166666666667,436770.0,119840.0,4,4.678333333333334,4.125,1.9479999999999997,3.716666666666667,4.645
11-9121,Natural Sciences Managers,11,Management,0.0613,0.9498415323136283,0.7286160488723531,0.8885415323136283,0.06453708109676483,0.9354629189032352,74760.0,156110.0,4,4.696111111111111,3.841666666666667,2.2213333333333334,3.788888888888889,4.523333333333333
11-9179,"Personal Service Managers, All Other",11,Management,0.1244,0.7417184265010353,0.5357142857142857,0.6173184265010353,0.16771863224005581,0.8322813677599442,7350.0,59580.0,4,3.3516666666666666,4.45125,2.9690000000000003,4.071666666666666,3.575
11-9131,Postmasters and Mail Superintendents,11,Management,0.0,0.9047619047619048,0.6666666666666666,0.9047619047619048,0.0,1.0,12750.0,81820.0,2,3.76,4.4125,2.9160000000000004,4.21,4.17
11-9141,"Property, Real Estate, and Community Association Managers",11,Management,0.1653,0.8863636363636364,0.6590909090909091,0.7210636363636364,0.1864923076923077,0.8135076923076923,234680.0,70030.0,4,3.65,4.0975,2.1,4.083333333333333,3.79
11-2032,Public Relations Managers,11,Management,0.2315,0.95,0.9,0.7184999999999999,0.2436842105263158,0.7563157894736842,59850.0,138000.0,4,,,,,
11-3061,Purchasing Managers,11,Management,0.2004,0.9428571428571428,0.8285714285714285,0.7424571428571428,0.21254545454545454,0.7874545454545454,69310.0,134590.0,4,3.965,3.9300000000000006,1.6619999999999997,3.8766666666666665,4.1850000000000005
11-2022,Sales Managers,11,Management,0.0433,0.9,0.8666666666666667,0.8567,0.048111111111111104,0.9518888888888889,453800.0,142390.0,4,4.095,4.380000000000001,1.502,4.163333333333333,3.57
11-9151,Social and Community Service Managers,11,Management,0.1808,0.7142857142857142,0.6428571428571428,0.5334857142857142,0.25312,0.74688,156400.0,76790.0,4,3.9683333333333337,4.08,1.9460000000000002,4.34,4.015000000000001
11-3131,Training and Development Managers,11,Management,0.3777,0.9090909090909092,0.9090909090909092,0.5313909090909092,0.41546999999999995,0.58453,35830.0,128800.0,4,4.53,3.6500000000000004,1.5859999999999999,3.546666666666667,3.8950000000000005
11-3071,"Transportation, Storage, and Distribution Managers",11,Management,0.0956,0.9551948051948052,0.7839285714285713,0.8595948051948051,0.10008429639700885,0.8999157036029911,144640.0,105580.0,4,4.149166666666666,4.03125,2.4200000000000004,3.983333333333333,4.1025
13-2011,Accountants and Auditors,13,Business and Financial Operations,0.3478,1.0,0.84,0.6522,0.3478,0.6522,1318550.0,83980.0,4,4.753333333333333,3.9625,1.4300000000000002,4.113333333333333,4.875
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13,Business and Financial Operations,0.118,0.9130434782608696,0.4347826086956521,0.7950434782608696,0.12923809523809524,0.8707619047619047,12480.0,116410.0,4,3.1300000000000003,3.7575,1.3719999999999999,4.313333333333333,3.315
13-2031,Budget Analysts,13,Business and Financial Operations,0.0672,0.96,0.96,0.8927999999999999,0.06999999999999999,0.93,47440.0,84240.0,4,4.2,3.755,1.4,4.326666666666667,4.165
13-1199,"Business Operations Specialists, All Other",13,Business and Financial Operations,0.1846,0.9415292353823088,0.8098616197127917,0.7569292353823088,0.1960640127388535,0.8039359872611465,1030330.0,79240.0,4,4.408333333333333,3.7737499999999997,1.9260000000000002,3.784166666666667,3.9725
13-1031,"Claims Adjusters, Examiners, and Investigators",13,Business and Financial Operations,0.0818,0.96,0.8,0.8782,0.08520833333333333,0.9147916666666667,278140.0,70960.0,4,4.115000000000001,4.045,1.496,4.63,4.475
13-1141,"Compensation, Benefits, and Job Analysis Specialists",13,Business and Financial Operations,0.0649,0.8684210526315789,0.631578947368421,0.8035210526315789,0.07473333333333335,0.9252666666666667,87750.0,73810.0,4,4.4350000000000005,3.7025,1.3960000000000001,3.953333333333333,4.74
13-1041,Compliance Officers,13,Business and Financial Operations,0.1211,0.8183125008857741,0.7157245309581854,0.6972125008857741,0.14798747406267962,0.8520125259373204,334340.0,75810.0,4,4.345238095238095,4.152142857142858,2.396,3.8685714285714283,4.575
13-1051,Cost Estimators,13,Business and Financial Operations,0.0,1.0,0.8076923076923077,1.0,0.0,1.0,208950.0,73740.0,4,4.778333333333333,3.415,1.376,3.6966666666666668,4.0
13-2041,Credit Analysts,13,Business and Financial Operations,0.1685,1.0,0.8888888888888888,0.8315,0.1685,0.8315,68770.0,88030.0,4,4.333333333333333,3.3949999999999996,0.9880000000000001,3.6,4.125
13-2071,Credit Counselors,13,Business and Financial Operations,0.2341,0.9772727272727272,0.931818181818182,0.7431727272727272,0.23954418604651165,0.7604558139534884,31230.0,50430.0,4,3.6933333333333334,3.6250000000000004,1.298,4.253333333333333,3.72
13-1074,Farm Labor Contractors,13,Business and Financial Operations,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,1.0,440.0,54400.0,2,2.2483333333333335,3.8125,3.0540000000000003,4.296666666666667,3.7199999999999998
13-2061,Financial Examiners,13,Business and Financial Operations,0.0428,0.9393939393939394,0.8484848484848485,0.8965939393939395,0.04556129032258064,0.9544387096774194,60750.0,96180.0,4,4.638333333333334,4.010000000000001,1.062,3.6799999999999997,4.715
13-2054,Financial Risk Specialists,13,Business and Financial Operations,0.2649,1.0,0.9333333333333332,0.7351,0.2649,0.7351,54320.0,110610.0,4,,,,,
13-2099,"Financial Specialists, All Other",13,Business and Financial Operations,0.2202,0.9318181818181819,0.9318181818181819,0.7116181818181819,0.2363121951219512,0.7636878048780488,123200.0,80370.0,4,5.013333333333333,3.50875,1.5189999999999997,3.9616666666666673,4.3225
13-2051,Financial and Investment Analysts,13,Business and Financial Operations,0.5716,0.9230769230769232,0.8461538461538463,0.35147692307692324,0.6192333333333332,0.3807666666666668,291880.0,103020.0,4,,,,,
13-1131,Fundraisers,13,Business and Financial Operations,0.0466,0.8846153846153847,0.7307692307692308,0.8380153846153847,0.052678260869565216,0.9473217391304348,82080.0,64870.0,4,4.323333333333333,4.385,1.782,3.953333333333333,3.645
13-1071,Human Resources Specialists,13,Business and Financial Operations,0.4034,0.9555555555555556,0.8,0.5521555555555556,0.4221627906976744,0.5778372093023256,740830.0,70720.0,4,3.393333333333334,4.012499999999999,1.514,4.186666666666667,4.42
13-1032,"Insurance Appraisers, Auto Damage",13,Business and Financial Operations,0.0,1.0,0.8571428571428571,1.0,0.0,1.0,11430.0,68180.0,3,3.9416666666666664,4.2,2.59,4.576666666666667,4.34
13-2053,Insurance Underwriters,13,Business and Financial Operations,0.0625,1.0,0.8571428571428571,0.9375,0.0625,0.9375,107690.0,79940.0,4,4.028333333333333,3.88,1.166,4.176666666666667,4.25
13-1075,Labor Relations Specialists,13,Business and Financial Operations,0.0,0.9245283018867924,0.7735849056603773,0.9245283018867924,0.0,1.0,63810.0,77070.0,4,4.11,3.7150000000000007,1.418,3.93,4.17
