occupation_title,major_group_title,observed_exposure,theoretical_exposure,adoption_gap_absolute,underadoption_ratio,annual_mean_wage,total_employment
Computer Programmers,Computer and Mathematical,0.7451,1,0.2549,0.2549,96650,152610
Customer Service Representatives,Office and Administrative Support,0.7011,1,0.29890000000000005,0.29890000000000005,39070,2787070
Data Entry Keyers,Office and Administrative Support,0.6707,0.9285714285714284,0.2578714285714284,0.2777076923076922,35940,147170
Market Research Analysts and Marketing Specialists,Business and Financial Operations,0.6483,1,0.3517,0.3517,76080,727540
Medical Transcriptionists,Healthcare Support,0.6365,0.9285714285714284,0.2920714285714284,0.31453846153846143,34220,55830
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related,0.6279,1,0.3721,0.3721,72390,1242490
Database Architects,Computer and Mathematical,0.5787,1,0.4213,0.4213,121840,50440
Software Quality Assurance Analysts and Testers,Computer and Mathematical,0.5195,0.9473684210526316,0.4278684210526317,0.4516388888888889,97710,190120
Statistical Assistants,Office and Administrative Support,0.5099,0.9565217391304348,0.4466217391304348,0.4669227272727273,53420,6190
Information Security Analysts,Computer and Mathematical,0.4859,0.9565217391304348,0.4706217391304348,0.4920136363636364,113270,157220
Web Developers,Computer and Mathematical,0.4802,1,0.5198,0.5198,81320,84820
"Mathematical Science Occupations, All Other",Computer and Mathematical,0.4793,0.9666666666666668,0.4873666666666668,0.5041724137931035,77960,3970
Technical Writers,"Arts, Design, Entertainment, Sports, and Media",0.4747,0.9333333333333332,0.4586333333333332,0.4913928571428571,81470,47620
Computer User Support Specialists,Computer and Mathematical,0.4685,0.7777777777777777,0.30927777777777765,0.3976428571428571,57650,654310
Desktop Publishers,Office and Administrative Support,0.464,0.967741935483871,0.503741935483871,0.5205333333333333,50930,7600
